王夫No.1,45100320,2012,11
小美人他苏断腿〔快穿〕,40369744,2018,6
穿书之受颜攻身心,52360876,2015,3
演技考核系统,13214620,2016,7
谁是你的宝贝儿,20093756,2018,7
蛇精病相处守则,28399460,2017,8
远古债，现代还,32339980,2018,7
秘而不宣,23792238,2017,5
真心道,32802110,2017,3
穿成一只美雄虫[虫族],16883784,2018,9
启明星,22220660,2018,1
扬樊起航,18170490,2017,10
阑笙,7251861,2016,8
甜即正义,11184542,2018,6
他连指尖都泛出好看的颜色（弱攻强受/弱强/病弱攻）,4033083,2018,9
威尔逊家族秘闻,11343106,2016,8
今天我又死了（弱强）,13603501,2018,9
郎中二三事,13172275,2011,2
无间影狱,11657034,2016,10
总有狗仔会躺枪,8652532,2016,7
弄死那个忠犬男,10562642,2017,4
校草他人设崩了,10775242,2018,2
东都之狼,8962805,2017,11
[王者]男神是个坑,8799372,2017,8
弱强短篇合集,9484213,2017,1
弱强＋受宠攻推文,6337685,2018,10
狼孩饲养守则,9295355,2016,12
定居虫族的炮灰,3902095,2018,8
长夜之光（弱强/美强/病弱攻）,2413418,2018,10
不辞冰雪,10062896,2014,9
养了一只猫,8215944,2018,5
歪你好，说好的满级送情缘请问应该怎么领取呢？,7290582,2017,7
狐三爷,1794609,2014,7
山岚静无言,5098951,2011,4
我的搭档太逆天,7965196,2016,11
[弱强]28cm的差距（主攻）,2930565,2014,2
星际成攻记,1815986,2017,6
[基三]恶人自有恶人磨,6777532,2016,3
论如何追求吃货攻,6742399,2014,7
［基三］好好的直男说弯就弯,6711722,2016,8
七杀,7002630,2017,8
意外关系,6632580,2017,6
[基三]这是一个细思极恐的故事,6616425,2016,7
肖淮,6738412,2016,7
蛊虫引,1984852,2011,6
一不小心把死对头不可描述了,6718616,2019,2
直男人设崩了,4617263,2018,9
傲慢与温柔（弱强/弱攻强受/受宠攻）,1975104,2018,9
天上掉下个少年来,6644484,2014,9
阴婚,2911869,2014,10
将军嫁我可好,6185060,2016,9
逆掉大众cp,6268776,2016,9
重生之自投罗网,2473545,2017,3
情迷舟渡,6333589,2018,10
[美强]情人节前夕,2611201,2014,2
棺材,2811817,2014,5
（虫族总攻）雄子西格里德,437530,2018,6
血族之夜,5920416,2017,5
『穿书』霸道总裁的落跑娇妻,592024,2016,11
[琅琊榜]不知何故,989251,2016,10
男神是只汪,5751513,2017,6
槐树,2646580,2014,4
您的白莲花到了请签收,552612,2018,9
夕阳西下几时回,1622089,2015,2
老鹌鹑的美好春天,497054,2016,8
心动女生是男评委,700171,2014,5
监狱爱风云,580858,2009,9
言爱,5467814,2014,5
强强&弱强&美强&互攻……推文,323484,2008,1
[生子]狼舞,522565,2011,4
嘘，我爱你,814141,2018,4
[妖尾夏灰]夏与灰（中短篇集）,5285437,2014,6
[哈德]好学生，坏学生],5341982,2013,6
哥哥，我不玩了！,247465,2018,6
回首那时年少,883000,2013,12
剑风传奇 临界之翼,2421463,2014,8
脑洞集锦,367510,2017,1
看石作玉,783618,2017,2
祭品,1236653,2014,5
摘下星星给你,293203,2019,2
初秋,295619,2016,8
我还是个孩子,242660,2016,7
我不是小亚雌呀,168960,2018,4
伪系统誓要成为攻君的男人！,394143,2016,2
强逆袭,1480932,2013,5
剑风传奇 预知的命定之恋番外篇：他变成了她,663399,2013,12
（美强or弱强）紫魂咒,291786,2007,1
壮汉三十六计,117084,2018,11
沉眠,114296,2018,7
执笔者的烦恼,183338,2018,8
换掉！,93927,2018,7
一世溺爱,146736,2012,1
雌攻雄兽,152207,2011,10
红楼环哥威武,114428,2013,12
阴谈,355844,2008,6
穿书之为毛是末世,77554,2014,10
折袖（弱攻强受）,92691,2009,11
关关,338731,2017,8
情劫 续,365198,2015,10
主攻弱强、强强鬼畜受病娇受推文,53778,2018,7
[短篇集]做个好妖女,118102,2018,2
优伶无缘,237996,2011,7
好好活着,1175604,2013,1
小先生,118314,2018,7
踏歌行,618426,2009,7
非典型房客,276614,2018,11
不爱loli爱muscle,82576,2013,9
《我家大神是萌物》,476611,2014,8
你是女人才怪（弱强，美强，主角里没有女人）──文案,68247,2008,10
素衣莫起风尘叹,244692,2017,3
奏凯，我有强受恐惧症,70487,2015,1
老子比你帅！,366508,2011,11
重生之我自逍遥,36429,2015,9
绝对无心综合征,393770,2016,11
岫色重花,234353,2017,3
[求文]穿越变小攻的……,29578,2006,11
阴阳世家,152775,2014,11
拴住你的无名指,3182948,2017,10
就是弱攻怎么滴,28526,2017,11
[快穿]参见盟主大人,71950,2016,8
深海溺恋,70204,2017,10
红莲业火之罪狐（弱强）,215813,2018,11
学生弱攻,75897,2015,8
怜取眼前人,222549,2016,1
以身换奶,25822,2017,12
木有枝,116650,2013,7
三生埋骨,24272,2015,2
重生来爱你,126297,2015,6
魔法到底有啥用,33736,2015,9
攻君雄起吧！,28907,2016,1
已凉夜话之毒物美人,171647,2011,7
困境（又名七十二小时）,98376,2015,3
狐狸的心思你别猜,49857,2017,4
与Leo的相识二三事,76090,2018,3
八月是你的爱恋,144091,2015,4
仙缘,34230,2013,7
此址无人,46329,2009,10
一切待定中,38002,2008,8
我有一只红萝卜,55875,2013,5
狐说,21716,2013,9
未央词,63861,2019,1
不合情理,32938,2019,3
野战壕,66217,2010,3
花落不知是否你,16400,2011,3
鞋匠,35759,2009,2
别等我离开,16400,2009,10
北漂的天空,17800,2013,9
好学生，坏学生,22179,2013,9
独醉猛兽 无心蔷薇,19821,2017,2
茶叶蛋,32634,2017,9
